speech_id,year,speaker_id,raw_text,clean_text,decade,congress,party,chamber,state,clean_word_count
970000004,1981,,If the 34 Senatorselect will now present themselves at the desk in groups of four as their names are called in alphabetical order. the Chair will administer their oaths of office. The clerk Will call the names.,if the 34 senatorselect will now present themselves at the desk in groups of four as their names are called in alphabetical order the chair will administer their oaths of office the clerk will call the names,1980s,97,,S,Unknown,36
970000005,1981,97105301,respectively. advanced to the desk of the Vive President. the oath prescribed by law was administered to them by the Vice President. and they severally subscribed to the oath in the Official Oath Book.,respectively advanced to the desk of the vive president the oath prescribed by law was administered to them by the vice president and they severally subscribed to the oath in the official oath book,1980s,97,R,S,Unknown,34
970000006,1981,97105071,respectively. advanced to the desk of the Vice President: the oath prescribed by law was administered to them by the Vice President. and they severally subscribed to the oath in- the Official Oath Book.,respectively advanced to the desk of the vice president the oath prescribed by law was administered to them by the vice president and they severally subscribed to the oath in- the official oath book,1980s,97,D,S,Unknown,34
970000007,1981,97106761,respectively. advanced to the desk of the Vice President. the oath prescribed by law was administered to them by the Vice President. and they severally subscribed to the oath in the Official Oath Book.,respectively advanced to the desk of the vice president the oath prescribed by law was administered to them by the vice president and they severally subscribed to the oath in the official oath book,1980s,97,D,S,Unknown,34
970000008,1981,97106981,respectively. advanced to the desk of the Vice President. the oath prescribed by law was administered to them by the Vice President. and they severally subscribed to the oath In the Official Oath Book.,respectively advanced to the desk of the vice president the oath prescribed by law was administered to them by the vice president and they severally subscribed to the oath in the official oath book,1980s,97,R,S,Unknown,34
970000009,1981,,The Chair recognizes the Senator from Tennessee.,the senator from tennessee,1980s,97,,S,Unknown,4
970000010,1981,97104811,Mr. President. I suggest the absence of a quorum.,mr president i suggest the absence of a quorum,1980s,97,R,S,Unknown,9
970000011,1981,,The clerk will call the roll.,the clerk will call the roll,1980s,97,,S,Unknown,6
970000012,1981,97104811,I announce that the Senator from Minnesota (Mr. BoscHwrTz). and the Senator from Alaska are necessarily absent.,i announce that the senator from minnesota mr boschwrtz and the senator from alaska are necessarily absent,1980s,97,R,S,Unknown,17
970000013,1981,97107681,I announce that the Senator from New Jersey . the Senator from Ohio . the Senator from Massachusetts,i announce that the senator from new jersey the senator from ohio the senator from massachusetts,1980s,97,D,S,Unknown,16
970000014,1981,,A quorum is present.,a quorum is present,1980s,97,,S,Unknown,4
970000016,1981,97104811,Mr. Presidenit. I sand .. resolution to the desk and ask unnimous consent for its immeinto conrideration.,mr presidenit i sand resolution to the desk and ask unnimous consent for its immeinto conrideration,1980s,97,R,S,Unknown,16
970000017,1981,,In there b)jection to the present considern.ioi Pf the resolution?,in there b jection to the present considern ioi pf the resolution,1980s,97,,S,Unknown,12
970000020,1981,97114621,Mr. President. will the distinguished majority leader yield?,mr president will the distinguished majority leader yield,1980s,97,D,S,Unknown,8
970000021,1981,97104811,I am happy to yield.,i am happy to yield,1980s,97,R,S,Unknown,5
970000022,1981,97114621,Mr. President. there is nothing I can add to what has already bean stated lucidly. cogently. clearly. and completely as to the sense of our conversation with the President. and I am delighted to have served in this capacity and. as I say. I have nothing further to say.,mr president there is nothing i can add to what has already bean stated lucidly cogently clearly and completely as to the sense of our conversation with the president and i am delighted to have served in this capacity and as i say i have nothing further to say,1980s,97,D,S,Unknown,49
970000023,1981,97104811,Mr. President. I thank the minority leader.,mr president i thank the minority leader,1980s,97,R,S,Unknown,7
970000024,1981,97114621,Mr. President. I send to the desk a resolution and ask for its immediate consideration.,mr president i send to the desk a resolution and ask for its immediate consideration,1980s,97,D,S,Unknown,15
