speech_id,sentence_id,sentence_text,amr_penman,amr_nodes,amr_edges,amr_depth
1000000001,1000000001_00000,representativeselect to tazio the 100th congress this being the day boxer fixed by the 20th amendment of the miller dellums constitution and public law 99613 stark for the meeting of the 100th congress edwards ie lawdirects the clerk of the as prepared the official roll of resentativeselect cates of election covering the in the 100th congress have ceived by the clerk of the f representatives and the f those persons whose credenow that they were regularly as representatives in accordh the -laws of their respective nd of the united states- will be ut objection-,,94,93,7
1000000001,1000000001_00001,the representact will record their presence ronic device and their names reported in alphabetical order s beginning with the state of l to determine whether a is present was no objection lerk the chair would also tate that representativeselect ve not picked up their voting may do so now in the speaky all was taken by electronic nd the following representact respondedto their names roll no 1 1 alabama,,69,68,6
1000000001,1000000001_00002,bevill flippo erdreich alaska young arizona stump kyl arkansas hammerschmidt anthony,,11,10,1
1000000003,1000000003_00000,the clerk credentials regular in for received showing the el honorable jaime b fus dent commissioner from wealth of puerto rico fo years beginning january election of the honorabl feighan fauntroy as delegate from the disqakar stokes trict of columbia the election of the honorable ben blaz as delegate from guam the election of the honorable edwards ron be lugo as delegate from the english virgin islands and the election of the honorable fofo i f sunia as delegate smith denny from american samoa walgren election of speaker goodling the clerk the next order of busigaydos ness is the election of the speaker of ridge murphy the house of representatives for the clinger 100th congress nominations are now in order the clerk recognizes the gentleman from missouri spratt mr gephardt mr clerk as talton chairman of the democratic caucus i am directed by the unanimous vote of that caucus to present for election to the office of the speaker of the house of representatives for the 100th consundquist gress the name of the honorable jim jones wright a representativeelect from ford the state of texas,,185,184,7
1000000004,1000000004_00000,the clerk now recogcombest nizes the gentleman from new york gonzalez smith mr kemp mr clerk as chairman delay bustamante of the republican conference i am difrost rected by the unanimous vote of that andrews conference to present for election to armey the office of the speaker of the house of representatives of the 100th congress the name of the honorable nielson robert h michel a representativeelect from the state of illinois,,72,71,7
1000000005,1000000005_00000,the honorable jim wright a representativeelect from the state of texas and the honorable boucher robert h michel a representativewolf elect from the state of illinois have been placed in nomination are there further nominations lowry there being no further nominations chandler the clerk will appoint tellers the clerk appoints the gentleman from illinois the gentleman from minnesota the gentlewoman from colorado and the gentlewoman from nebraska obey the tellers will come forward and roth sensenbrenner take their seats at the desk in front of the speakers rostrum the roll will now be called and those responding to their names will indicate by surname the nominee of their choice rum call dis- the reading clerk will now call the ntlativeselect roll r names a the tellers having taken their places the house proceeded to vote for the speaker rhe clerk the following is the result of the 41 vote rm have been ection of the ster as resithe commonr a term of 4 3 1985 the le walter e ackerman akaka alexander anderson andrews annunzio roll no 2,,178,177,7
1000000006,1000000006_00000,the tellers agree in their tallies that the total number of votes cast is 430 of which the honorable jim wright of texas has received 254 and the honorable robert h michel of illinois has received 173 with two voting present therefore the honorable jim wright of texas is duly elected speaker of the house of representatives for the 100th congress having received a majority of the votes cast the clerk appoints the following committee to escort the speakerelect to the chair the gentleman from illinois the gentleman from washington the gentleman from - mississippi the gentleman from california the gentleman from missouri the gentleman from new- york the gentleman from texas and the gentleman from texas the clerk also appoints the distinguished former speaker the honorable thomas p oneill jr and the former minority leader the honorable john j rhodes to join the escort committee,,146,145,7
1000000007,1000000007_00000,the committee will retire from the chamber to escort the speakerelect of the house of representatives to the chair the doorkeeper announced the speakerelect of the house of representatives of the 100th congress who was escorted to the chair by the com- mittee of escort grandy marlenee schneider green martin il schuette gregg martin ny schulze gunderson mccandless sensenbrenner hammerschmidt mccollum shaw hansen mcdade shumway hastert mcewen shuster hefley mcgrath,,70,69,6
1000000007,1000000007_00001,skeen henry mckinney slaughter va herger memillan nc smith ne hiler meyers smith nj holloway miller oh smith tx hopkins miller wa smith denny horton molinari or houghton moorhead smith robert hunter morella nh hyde morrison wa smith robert inhofe myers or ireland nielson snowe jeffords oxley solomon johnson ct packard spence kasich parris stangeland kemp pashayan stump kolbe petri sundquist konnyu - porter sweeney kyl,,66,65,6
1000000007,1000000007_00002,pursell swindall lagomarsino quillen tauke latta ravenel taylor leach ia regula thomas ca lent rhodes upton lewis ca ridge vander jagt lewis fl rinaldo vucanovich iughtfoot ritter walker livingston roberts weber lott rogers weldon lowery ca roth wolf lujan roukema wortley lukens donald rowland ct wylie,,46,45,4
1000000007,1000000007_00003,lungren saiki young ak mack saxton young fl madigan schaefer michel answered present -2 wright,,15,14,2
